"Bill of Material for "
"On 2018-04-12 at 11:46:53 PM"

"Comment","Pattern","Quantity","Components"

"100nF","0805C-TBD","2","C1, C2","CAPACITOR 0805 CERAMIC"
"10uF","0805C-GENERIC","3","C3, C4, C5","CAPACITOR 0805 CERAMIC"
"150R","0805R-150","4","R4, R5, R6, R7","RESISTOR 0805 1/4 WATT THIN FILM"
"200K","0805R-4K7","1","R10","RESISTOR 0805 1/4 WATT THIN FILM"
"4K7","0805R-4K7","7","R1, R2, R3, R8, R9, R11, R12","RESISTOR 0805 1/4 WATT THIN FILM"
"Arduino Pro Mini","Arduino Pro Mini","1","H3","Arduino Pro Mini"
"BNO055","BNO055","1","H5","Accel+Gyro+Mag"
"HEADER-1X2","HEADER-1X2","1","H1",""
"HEADER-1X4","HEADER-1X4","2","H2, H4",""
"HEADER-2X2","HEADER-2X2","1","H7",""
"LED","LED","1","D1","Small LED"
"LM2936","LM2936","1","U1","3V3 Voltage Regulator"
"NRF24L01","NRF24L01","1","H6","Radio Transceiver"
"PCA9306","PCA9306","1","U2","Dual Bidirectional I2C Voltage Level Translator"
"PushButton","PushButton","1","PB1",""
"ToggleSwitch","SWITCHFOOTPRINT","1","SW1",""
